[2026-02-23 15:55:20 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='noise_pca', pool=20000, tier=1000, strategy='low'
[2026-02-23 16:10:09 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 1000 images. Selectoin meta: {'seed': 0, 'feature_name': 'noise_pca', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 1000, 'subset_strategy': 'low', 'counts': {'pool': 20000, 'low': 1000, 'high': 1000, 'mixed': 1000, 'train': 1000}}
[2026-02-23 16:12:19 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|     keyboard     | 41.46 | 61.39 |
|    cell phone    | 30.93 | 55.96 |
|    microwave     | 23.76 | 31.32 |
|       oven       |  23.8 | 69.22 |
|     toaster      | 20.09 | 51.16 |
|       sink       | 30.89 | 55.07 |
|   refrigerator   | 49.31 | 61.77 |
|       book       | 27.77 | 32.93 |
|      clock       | 43.43 | 83.22 |
|       vase       | 30.29 | 53.97 |
|     scissors     | 50.84 | 61.22 |
|    teddy bear    | 62.65 | 74.72 |
|    hair drier    |  1.87 | 18.08 |
|    toothbrush    | 25.06 | 57.13 |
|      banner      |  2.17 | 75.25 |
|     blanket      |  6.19 | 19.68 |
|      branch      |  6.23 | 40.61 |
|      bridge      | 24.76 |  40.4 |
|  building-other  | 30.49 | 54.43 |
|       bush       | 11.84 | 34.26 |
|     cabinet      | 25.33 | 36.09 |
|       cage       |  5.52 |  6.65 |
|    cardboard     | 22.74 | 26.96 |
|      carpet      | 40.69 | 54.95 |
|  ceiling-other   | 27.79 | 43.13 |
|   ceiling-tile   |  7.09 | 21.74 |
|      cloth       |  0.58 |  2.07 |
|     clothes      |  4.08 | 28.23 |
|      clouds      | 32.57 | 37.26 |
|     counter      | 10.34 | 33.59 |
|     cupboard     |  4.13 | 19.52 |
|     curtain      | 32.96 | 39.96 |
|    desk-stuff    | 23.32 | 38.08 |
|       dirt       | 14.46 | 16.53 |
|    door-stuff    | 14.39 |  20.0 |
|      fence       | 26.72 | 49.65 |
|   floor-marble   |  5.98 | 10.27 |
|   floor-other    |  9.09 | 39.16 |
|   floor-stone    |  1.79 |  3.09 |
|    floor-tile    | 36.12 |  42.6 |
|    floor-wood    |  23.8 | 29.37 |
|      flower      | 30.87 | 43.13 |
|       fog        | 13.34 | 17.73 |
|    food-other    | 11.43 | 74.37 |
|      fruit       | 18.03 | 64.66 |
| furniture-other  |  5.74 |  9.13 |
|      grass       |  49.9 | 64.22 |
|      gravel      | 13.87 | 25.65 |
|   ground-other   |  2.73 | 32.31 |
|       hill       |  6.57 |  8.21 |
|      house       | 11.21 | 31.21 |
|      leaves      |  8.29 | 10.34 |
|      light       |  3.94 |  30.0 |
|       mat        |  0.63 |  3.49 |
|      metal       |  4.15 |  4.78 |
|   mirror-stuff   | 13.12 | 15.92 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 37.09 |  63.5 |
|       mud        |  0.17 |  0.52 |
|      napkin      |  9.54 | 39.22 |
|       net        | 10.62 | 28.58 |
|      paper       |  13.6 | 26.91 |
|     pavement     | 32.44 | 50.64 |
|      pillow      |  6.34 | 24.14 |
|   plant-other    |  4.95 |  7.12 |
|     plastic      |  4.04 |  4.29 |
|     platform     |  5.8  |  8.88 |
|   playingfield   |  0.18 |  0.18 |
|     railing      |  4.75 | 14.51 |
|     railroad     |  38.4 | 84.01 |
|      river       | 42.87 | 60.38 |
|       road       | 31.66 |  40.4 |
